rowid,owner_name,area,value
1,Austin,urban,145000
2,Blair,suburbs,95000
3,Carolina,suburbs,220000
4,Carolina,urban,190000
5,Dani,country,67000
6,Donald,urban,450000
7,Donald,urban,260000
8,Donald,urban,660000
9,Eliza,urban,210000
10,Farida,suburbs,180000
11,Georgina,country,82000
12,Hillary,country,380000
13,Hillary,urban,400000
14,Liam,suburbs,160000
15,Leland,country,42000
16,Michael,suburbs,160000
17,Michael,country,82000
18,Phoebe,urban,77000
19,Sherry,urban,210000
20,Zed,country,177000
